County,Population,Median Age,Household Income,Per Capita Income,Householder Owner Rate,Population Formatted,Household Income Formatted,Per Capita Income Formatted,Householder Owner Rate Formatted,Zipcode,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Date
Person,39240.0,43.0,44921.0,24477.0,71.37614678899082,"39,240","$44,921.00","$24,477.00",%71.4,37145,36.39,-78.97,32,1,0,31,2020-05-16T00:00:00Z
Pitt,176484.0,32.0,43526.0,25462.0,51.647174814714084,"176,484","$43,526.00","$25,462.00",%51.6,37147,35.6,-77.37,202,2,0,200,2020-05-16T00:00:00Z
Polk,20434.0,52.1,48412.0,29728.0,72.04658901830283,"20,434","$48,412.00","$29,728.00",%72.0,37149,35.28,-82.17,32,3,0,29,2020-05-16T00:00:00Z
Randolph,142827.0,41.5,43598.0,22349.0,70.64840681383772,"142,827","$43,598.00","$22,349.00",%70.6,37151,35.71,-79.81,438,6,0,432,2020-05-16T00:00:00Z
Richmond,45447.0,40.2,33607.0,19966.0,63.61035931964706,"45,447","$33,607.00","$19,966.00",%63.6,37153,35,-79.74,112,2,0,110,2020-05-16T00:00:00Z
Robeson,134187.0,35.9,32407.0,17161.0,63.01206525222265,"134,187","$32,407.00","$17,161.00",%63.0,37155,34.64,-79.1,531,12,0,519,2020-05-16T00:00:00Z
Rockingham,91566.0,44.4,41700.0,22521.0,67.91057816219994,"91,566","$41,700.00","$22,521.00",%67.9,37157,36.4,-79.78,45,2,0,43,2020-05-16T00:00:00Z
Rowan,138940.0,40.1,46978.0,23838.0,65.67942996977112,"138,940","$46,978.00","$23,838.00",%65.7,37159,35.64,-80.52,525,26,0,499,2020-05-16T00:00:00Z
Rutherford,66523.0,44.5,38573.0,21092.0,67.77505524405093,"66,523","$38,573.00","$21,092.00",%67.8,37161,35.4,-81.92,153,7,0,146,2020-05-16T00:00:00Z
Sampson,63664.0,40.2,37765.0,20872.0,68.38401608444333,"63,664","$37,765.00","$20,872.00",%68.4,37163,34.99,-78.37,232,1,0,231,2020-05-16T00:00:00Z
Scotland,35445.0,39.3,32739.0,17103.0,57.95457751445902,"35,445","$32,739.00","$17,103.00",%58.0,37165,34.84,-79.48,50,0,0,50,2020-05-16T00:00:00Z
Stanly,60875.0,42.4,46017.0,23398.0,69.02012320328542,"60,875","$46,017.00","$23,398.00",%69.0,37167,35.32,-80.25,32,4,0,28,2020-05-16T00:00:00Z
Stokes,46124.0,45.3,44490.0,23500.0,77.5323042233978,"46,124","$44,490.00","$23,500.00",%77.5,37169,36.4,-80.24,26,0,0,26,2020-05-16T00:00:00Z
Surry,72315.0,43.4,39071.0,22533.0,71.96708843255203,"72,315","$39,071.00","$22,533.00",%72.0,37171,36.42,-80.69,75,1,0,74,2020-05-16T00:00:00Z
Swain,14208.0,41.1,35271.0,20918.0,67.59572072072072,"14,208","$35,271.00","$20,918.00",%67.6,37173,35.49,-83.49,6,0,0,6,2020-05-16T00:00:00Z
Transylvania,33291.0,50.6,44559.0,26037.0,71.75813282869244,"33,291","$44,559.00","$26,037.00",%71.8,37175,35.2,-82.8,7,0,0,7,2020-05-16T00:00:00Z
Tyrrell,4090.0,47.1,32411.0,17736.0,58.77750611246944,"4,090","$32,411.00","$17,736.00",%58.8,37177,35.87,-76.17,4,0,0,4,2020-05-16T00:00:00Z
Union,222095.0,38.0,70858.0,32754.0,78.41374186721899,"222,095","$70,858.00","$32,754.00",%78.4,37179,34.99,-80.53,351,17,0,334,2020-05-16T00:00:00Z
Vance,44420.0,40.6,35246.0,21188.0,57.44934714092751,"44,420","$35,246.00","$21,188.00",%57.4,37181,36.37,-78.41,195,17,0,178,2020-05-16T00:00:00Z
Wake,1023811.0,35.8,73577.0,37315.0,64.75872988276157,"1,023,811","$73,577.00","$37,315.00",%64.8,37183,35.79,-78.65,1199,28,0,1171,2020-05-16T00:00:00Z
Warren,20190.0,47.2,35443.0,21543.0,67.0678553739475,"20,190","$35,443.00","$21,543.00",%67.1,37185,36.4,-78.11,28,0,0,28,2020-05-16T00:00:00Z
Washington,12331.0,43.5,34557.0,21117.0,59.962695645122054,"12,331","$34,557.00","$21,117.00",%60.0,37187,35.84,-76.57,26,3,0,23,2020-05-16T00:00:00Z
Watauga,53421.0,30.6,41541.0,24545.0,52.48872166376518,"53,421","$41,541.00","$24,545.00",%52.5,37189,36.23,-81.7,9,0,0,9,2020-05-16T00:00:00Z
Wayne,124496.0,37.3,41766.0,23163.0,58.64606091761984,"124,496","$41,766.00","$23,163.00",%58.6,37191,35.36,-78,819,15,0,804,2020-05-16T00:00:00Z
Wilkes,68525.0,44.1,37173.0,21798.0,73.7395111273258,"68,525","$37,173.00","$21,798.00",%73.7,37193,36.21,-81.16,405,1,0,404,2020-05-16T00:00:00Z
Wilson,81379.0,40.4,42095.0,23383.0,57.879796999225846,"81,379","$42,095.00","$23,383.00",%57.9,37195,35.71,-77.92,229,9,0,220,2020-05-16T00:00:00Z
Yadkin,37825.0,43.5,41126.0,23038.0,75.30733641771316,"37,825","$41,126.00","$23,038.00",%75.3,37197,36.16,-80.66,98,1,0,97,2020-05-16T00:00:00Z
Yancey,17605.0,46.8,37610.0,21947.0,73.06447032093155,"17,605","$37,610.00","$21,947.00",%73.1,37199,35.9,-82.31,8,0,0,8,2020-05-16T00:00:00Z
